P_N,N,Category,Lot,Price_ea,Description_Original,Description_clean,Description
0799-5B,,Unknown,,"","","",""
30 Monthly Service Fee,,Unknown,,"","","",""
31,,Unknown,,"","","",""
31  Market Development,,Unknown,,"","","",""
31 Market Development,,Unknown,,"","","",""
33,,Unknown,,"","","",""
33 Business Trip Attendance,,Unknown,,"","","",""
34,,Unknown,,"","","",""
34 Obtaining Approval,,Unknown,,"","","",""
35 Sales - Service,,Unknown,,"","","",""
36,,Unknown,,"","","",""
36 Documentation & Translation,,Unknown,,"","","",""
37 Sales -Outsourcing Service,,Unknown,,"","","",""
39,,Unknown,,"","","",""
39 Preparation of Market Research Report,,Unknown,,"","","",""
785-M8-55N-BK,,Unknown,,"","","",""
806-5-60PSL-1200,1,Screws,1000,$0.36,SD5-60-1200EA-BOX,SD5-60-1200EA-BOX,sd5 60 1200ea box
806-5-60PSL-WP-1200,1,Screws,1000,$0.43,SD5-60-1200EA-BOX,SD5-60-1200EA-BOX,sd5 60 1200ea box
APEX SAMPLE KIT,1,APEX,,"","","",""
Adjustment,,Unknown,,"","","",""
Adjustment for Credit Notes,,Unknown,,"","","",""
CC PROCESSING,1,Unknown,1,"","","",""
CM by TOPC,,Unknown,,"","","",""
DYNOBOND 8,,Unknown,,"","","",""
Discount,,Unknown,,"","","",""
Dummy for AR,,Unknown,,"","","",""
EXP,,Unknown,,"","","",""
FREIGHT,,Unknown,,"","","",""
Financial charge,,Unknown,,"","","",""
Freight,,Unknown,,"","","",""
LOOSE MINIS,1,MINI,,"","","",""
PROCESSING FEE,1,Unknown,,"","","",""
PROCESSING FEE 2K -UNDER 3K,,Unknown,,"","","",""
PROCESSING FEE 3k-5k,,Unknown,,"","","",""
PROCESSING FEE UNDER USD2k,,Unknown,,"","","",""
Paper Box,,Unknown,,"","","",""
Processing,,Unknown,,"","","",""
Processing fee for orders $2000 to $2999.99,,Unknown,,"","","",""
"Processing fee for orders $3,000 to $5,000",,Unknown,,"","","",""
Processing fee for orders under $2000.00,,Unknown,,"","","",""
ROOFTECH MINI,1,MINI,20,$4.86,"","",""
RT-04-BN30SL-US,1,Bolts,100,$0.36,"","",""
RT-04-MINIBUTYL,1,Accessories,10,$1.18,"","",""
RT-3-04-M8BIT,1,Tools,1,$6.02,"","",""
RT-MINI-BUTYL-PAD,1,Accessories,10,$1.18,"","",""
RT-MISC,,Others,1,$0,"","",""
RT-RT200MINIBK7,1,MINI,20,$4.86,"MINI base, (20ea;40 screw), 10ea.  additional RT-Butyl pads. (20ea./BOX)","MINI base, (20ea;40 screw), 10ea. additional RT-Butyl pads. (20ea./BOX)",mini base 20ea 40 screw 10ea additional rt butyl pads 20ea box
RT-RT200MINIBK7-SET,,MINI,20,$4.86,"MINI base, (20ea;40 screw), 10ea.  additional RT-Butyl pads. (20ea./BOX)","MINI base, (20ea;40 screw), 10ea. additional RT-Butyl pads. (20ea./BOX)",mini base 20ea 40 screw 10ea additional rt butyl pads 20ea box
RT1-RT2-04-SD5-90,1,Screws,1,$0.75,"SD5-90 screw (1,000ea/box)","SD5-90 screw (1,000ea/box)",sd5 90 screw 1 000ea box
RT1-RT200MINIBK,1,MINI,20,$4.86,"MINI base, (20ea;40 screw), 10ea.  additional RT-Butyl pads. (20ea./BOX)","MINI base, (20ea;40 screw), 10ea. additional RT-Butyl pads. (20ea./BOX)",mini base 20ea 40 screw 10ea additional rt butyl pads 20ea box
RT1-RT204BN30SLUS,1,Bolts,100,$0.36,"5/16 HEX BOLT 30mm, FLANGE NUT SET for MINI ( 100pcs/Bag )","5/16 HEX BOLT 30mm, FLANGE NUT SET for MINI ( 100pcs/Bag )",5 16 hex bolt 30mm flange nut set for mini 100pcs bag
RT1-RT204FBN25,1,Bolts,100,$0.36,"5/16-18 x 1"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" HEX FLANGE BOLT 18-8 SST, NON-SERRATED / 5/16-18 SERRATED HEX FLANGE NUT SST (100EA/ BAG)","5/16-18 x 1"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" HEX FLANGE BOLT 18-8 SST, NON-SERRATED / 5/16-18 SERRATED HEX FLANGE NUT SST (100EA/ BAG)",5 16 18 x 1 hex flange bolt 18 8 sst non serrated 5 16 18 serrated hex flange nut sst 100ea bag
RT1-RT204MNBUTYL,1,Accessories,10,$1.18,"RT-MINI Butyl (10 ea./BOX)
",RT-MINI Butyl (10 ea/box),rt mini butyl 10 ea box
RT1-RT204SD560,1,Accessories,100,$0.43,Screw 5x60  (100ea./bag),Screw 5x60 (100ea./bag),screw 5x60 100ea bag
RT1-RT300AXBK,1,APEX,24,$4.09,"RT-APEX Base w/ 2 screws/base and extra RT-Butyl tape (24ea/box)
(1 kit =RT-APEX Base w/ butyl, 1 extra butyl tape, 2 screws/base)","RT-APEX Base w/ 2 screws/base and extra RT-Butyl tape (24ea/box) (1 kit =RT-APEX Base w/ butyl, 1 extra butyl tape, 2 screws/base)",rt apex base w 2 screws base and extra rt butyl tape 24ea box 1 kit rt apex base w butyl 1 extra butyl tape 2 screws base
RT1-RT301UE30,1,APEX,12,$9.24,RT-APEX End Clamp Universal Height (PV Frame H30-40mm) 12 ea./BOX,RT-APEX End Clamp Universal Height (PV Frame H30-40mm) 12 ea/box,rt apex end clamp universal height pv frame h30 40mm 12 ea box
RT1-RT301UEFS30,1,APEX,16,$9.24,RT-APEX End Floating Splice Universal Height (PV Frame H30-40mm)16 ea./BOX,RT-APEX End Floating Splice Universal Height (PV Frame H30-40mm)16 ea/box,rt apex end floating splice universal height pv frame h30 40mm 16 ea box
RT1-RT301UES30,1,APEX,12,$15.31,RT-APEX End Clamp Splice Universal Height (PV Frame H30-40mm) 12 ea./BOX,RT-APEX End Clamp Splice Universal Height (PV Frame H30-40mm) 12 ea/box,rt apex end clamp splice universal height pv frame h30 40mm 12 ea box
RT1-RT302UM30,1,APEX,12,$9.24,RT-APEX Middle Clamp Universal Height (PV Frame H30-40mm) 12 ea./BOX,RT-APEX Middle Clamp Universal Height (PV Frame H30-40mm) 12 ea/box,rt apex middle clamp universal height pv frame h30 40mm 12 ea box
RT1-RT302UMBK,1,APEX,12,$9.24,RT-APEX Middle Clamp Universal Height (PV Frame H32-40mm) 12 ea./BO,RT-APEX Middle Clamp Universal Height (PV Frame H32-40mm) 12 ea./BO,rt apex middle clamp universal height pv frame h32 40mm 12 ea bo
RT1-RT302UMFS30,1,APEX,16,$9.24,RT-APEX Middle Floating Splice Universal Height (PV Frame H30-40mm) 16 ea./BOX,RT-APEX Middle Floating Splice Universal Height (PV Frame H30-40mm) 16 ea/box,rt apex middle floating splice universal height pv frame h30 40mm 16 ea box
RT1-RT302UMS30,1,APEX,12,$15.31,RT-APEX Middle Clamp Splice Universal Height (PV Frame H30-40mm)12 ea./BOX,RT-APEX Middle Clamp Splice Universal Height (PV Frame H30-40mm)12 ea/box,rt apex middle clamp splice universal height pv frame h30 40mm 12 ea box
RT1-RT303SK80BL,1,APEX,8,$17.00,"RT-APEX Skirt 80 (2032mm) (8ea./Box X) (1 set = 1 RT-Apex Skirt and 1 Skirt, 8 set in 1 box)","RT-APEX Skirt 80 (2032mm) (8ea./Box X) (1 set = 1 RT-Apex Skirt and 1 Skirt, 8 set in 1 box)",rt apex skirt 80 2032mm 8ea box x 1 set 1 rt apex skirt and 1 skirt 8 set in 1 box
RT1-RT304ENDCAP,1,APEX,120,$2.66,Skirt End Cap (L R with screws) 120ea/BOX (RT3-04-SKCAP),Skirt End Cap (L R with screws) 120ea/BOX (RT3-04-SKCAP),skirt end cap l r with screws 120ea box rt3 04 skcap
RT1-RT304M416S,1,APEX,100,$0.25,"","",""
RT1-RT304M8BIT,1,Tools,1,$6.02,"","",""
RT1-RT304RFEBBK,1,REB,1,$20.00,RT-Roof Entry Bracket (1 ea./ 1 Box),RT-Roof Entry Bracket (1 ea./ 1 Box),""
RT1-RT304SKSSL,1,APEX,24,$1.50,"","",""
RT100,,Unknown,,"","","",""
RT150,,Unknown,,"","","",""
RT2-00-ABK-01,,MINI,,"","","",""
RT2-00-MBK-02,,MINI,,"","","",""
RT2-00-MINBK2,1,MINI,20,$4.15,"MINI II base, (20ea;40 screw), 5ea.  additional RT-Butyl pads. (20 ea./ Box)","MINI II base, (20ea;40 screw), 5ea. additional RT-Butyl pads. (20 ea/box)",mini ii base 20ea 40 screw 5ea additional rt butyl pads 20 ea box
RT2-00-MINIBK,1,MINI,20,$4.86,"MINI base, (20ea;40 screw), 10ea.  additional RT-Butyl pads. (20ea./BOX)","MINI base, (20ea;40 screw), 10ea. additional RT-Butyl pads. (20ea./BOX)",mini base 20ea 40 screw 10ea additional rt butyl pads 20ea box
RT2-00-MINIBK-01,,MINI,20,$4.86,"MINI base, (20ea;40 screw), 10ea.  additonal RT-Butyl pads. (20ea/BOX)","MINI base, (20ea;40 screw), 10ea. additonal RT-Butyl pads. (20ea/BOX)",mini base 20ea 40 screw 10ea additonal rt butyl pads 20ea box
RT2-00-MINIBK-20,,MINI,20,$4.86,E-MOUNT MINI BASE KIT (20ea/BOX),E-MOUNT MINI BASE KIT (20ea/BOX),e mount mini base kit 20ea box
RT2-00-MINIBK2,1,MINI,20,$4.15,"MINI II base, (20ea;40 screw), 5ea.  additional RT-Butyl pads. (20 ea./ Box)","MINI II base, (20ea;40 screw), 5ea. additional RT-Butyl pads. (20 ea/box)",mini ii base 20ea 40 screw 5ea additional rt butyl pads 20 ea box
RT2-00-MINIBK2-20,,MINI,20,$4.15,"MINI II base, (20ea;40 screw), 5ea.  additonal RT-Butyl pads. (20 ea/ Box)","MINI II base, (20ea;40 screw), 5ea. additonal RT-Butyl pads. (20 ea/box)",mini ii base 20ea 40 screw 5ea additonal rt butyl pads 20 ea box
RT2-00-MINIBK2-FSET,1,MINI,20,$4.51,"MINI II base, (20ea;40 screw), 5ea.  additional RT-Butyl pads. (20 ea./ Box),RT-FBN25 Bolt & Nut(20ea./bag)","MINI II base, (20ea;40 screw), 5ea. additional RT-Butyl pads. (20 ea/box),RT-FBN25 Bolt & Nut(20ea./bag)",mini ii base 20ea 40 screw 5ea additional rt butyl pads 20 ea box rt fbn25 bolt nut 20ea bag
RT2-01-EH32BK-01 ***Complete***,,E-Mount,,"",GEN2 RT End Clamp 32mm (PV Frame H32mm) w/ 6ea shims ( 6 ea. / Box),GEN2 RT End Clamp 32mm (PV Frame H32mm) w/ 6ea shims ( 6 ea/box),gen2 rt end clamp 32mm pv frame h32mm w 6ea shims 6 ea box
RT2-01-EH32BK-01 ***Not Complet,,E-Mount,,"","","",""
RT2-01-EH33BK-01** Not Complete,,E-Mount,,"","","",""
RT2-01-EH35BK-01,,E-Mount,,"",RT-[E] Mount End Clamp 35mm kit (6ea/box ),RT-[E] Mount End Clamp 35mm kit (6ea/box ),rt e mount end clamp 35mm kit 6ea box
RT2-01-EH40BK-01,,E-Mount,,"","","",""
RT2-01-EH46BK-01,,E-Mount,,"",RT-[E] Mount End Clamp 46mm kit Box (6ea./Box),RT-[E] Mount End Clamp 46mm kit Box (6ea./Box),rt e mount end clamp 46mm kit box 6ea box
RT2-01-EH50BK-00**Not Complete*,,E-Mount,,"","","",""
RT2-01-EH50BK-01**Complete**,,E-Mount,,"",RT-[E] Mount End Clamp 50mm kit Box (6ea./Box),RT-[E] Mount End Clamp 50mm kit Box (6ea./Box),rt e mount end clamp 50mm kit box 6ea box
RT2-02-UH40BK-01,,E-Mount,,"",G2 Middle Clamp kit Universal Height 40mm (6ea /Box),G2 Middle Clamp kit Universal Height 40mm (6ea /Box),g2 middle clamp kit universal height 40mm 6ea box
RT2-02-UH50BK-01,,E-Mount,,"","","",""
RT2-02-UH50BK-01**Complete**,,E-Mount,,"","","",""
RT2-03-SK33BK1675/RTM-EC33BK-1675-B,,APEX,,"",Eaves Cover H-33 L-1675 (10ea./Box),Eaves Cover H-33 L-1675 (10ea./Box),eaves cover h 33 l 1675 10ea box
RT2-03-SK35BK-1650,,APEX,,"",Eaves Cover H-33 L-1675 (10ea./Box),Eaves Cover H-33 L-1675 (10ea./Box),eaves cover h 33 l 1675 10ea box
RT2-03-SK35BK-1650/RTM-EC35BK-1650-B,,APEX,,"",Eaves Cover H-35 L-1650 (10ea./Box)(RT2-03-SK35BK1650-01=RTM-EC35BK-1650-B),Eaves Cover H-35 L-1650 (10ea./Box)(RT2-03-SK35BK1650-01=RTM-EC35BK-1650-B),eaves cover h 35 l 1650 10ea box rt2 03 sk35bk1650 01 rtm ec35bk 1650 b
RT2-03-SK40BK-1650,,APEX,,"",Eaves Cover H-40 L-1650 (10ea./Box),Eaves Cover H-40 L-1650 (10ea./Box),eaves cover h 40 l 1650 10ea box
RT2-04-BN19SL-US,,Bolts,,"","","",""
RT2-04-BN25SL-US,1,Bolts,100,$0.36,"5/16-18 x 1"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" HEX FLANGE BOLT 18-8 SST, NON-SERRATED / 5/16-18 SERRATED HEX FLANGE NUT SST (100EA/ BAG)","5/16-18 x 1"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" HEX FLANGE BOLT 18-8 SST, NON-SERRATED / 5/16-18 SERRATED HEX FLANGE NUT SST (100EA/ BAG)",5 16 18 x 1 hex flange bolt 18 8 sst non serrated 5 16 18 serrated hex flange nut sst 100ea bag
RT2-04-BN30SL-TA,1,Bolts,100,$0.36,"5/16 HEX BOLT 30mm, FLANGE NUT SET for MINI ( 100pcs/Bag )","5/16 HEX BOLT 30mm, FLANGE NUT SET for MINI ( 100pcs/Bag )",5 16 hex bolt 30mm flange nut set for mini 100pcs bag
RT2-04-BN30SL-US,1,Bolts,100,$0.36,"5/16 HEX BOLT 30mm, FLANGE NUT SET for MINI ( 100pcs/Bag )","5/16 HEX BOLT 30mm, FLANGE NUT SET for MINI ( 100pcs/Bag )",5 16 hex bolt 30mm flange nut set for mini 100pcs bag
RT2-04-BN45L-US,,Bolts,100,$0.40,"1 3/4,HEX BOLT 45mm, FLANGE NUT SET (Each item 100pcs/Bag )","1 3/4,HEX BOLT 45mm, FLANGE NUT SET (Each item 100pcs/Bag )",1 3 4 hex bolt 45mm flange nut set each item 100pcs bag
RT2-04-BNW-US,1,Bolts,100,"","","",""
RT2-04-BUTLYT-00,,Accessories,10,$1.18,RT-[E] Mount Butyl tape (10 ea./ Box),RT-[E] Mount Butyl tape (10 ea/box),rt e mount butyl tape 10 ea box
RT2-04-BUTYLT,1,Accessories,10,$1.18,RT-[E] Mount Butyl tape (10 ea./ Box),RT-[E] Mount Butyl tape (10 ea/box),rt e mount butyl tape 10 ea box
RT2-04-BUTYLT-01,,Accessories,10,$1.18,RT-[E] Mount Butyl tape (10 ea./ Box),RT-[E] Mount Butyl tape (10 ea/box),rt e mount butyl tape 10 ea box
RT2-04-C-MOUNT,1,C-MOUNT,20,$3.08,Conduit mount(20ea/box),Conduit mount(20ea/box),conduit mount 20ea box
RT2-04-CHBRBK-01,,Accessories,20,$0.88,"","",""
RT2-04-FBN25,1,Bolts,100,$0.36,"5/16-18 x 1"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" HEX FLANGE BOLT 18-8 SST, NON-SERRATED / 5/16-18 SERRATED HEX FLANGE NUT SST (100EA/ BAG)","5/16-18 x 1"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" HEX FLANGE BOLT 18-8 SST, NON-SERRATED / 5/16-18 SERRATED HEX FLANGE NUT SST (100EA/ BAG)",5 16 18 x 1 hex flange bolt 18 8 sst non serrated 5 16 18 serrated hex flange nut sst 100ea bag
