P_N,N,Category,Lot,Price_ea,Description_Original,Description_clean,Description
YGK-ESC44-TR-SET,,Unknown,,"",RT-Metal Roof Mounting Base H44,RT-Metal Roof Mounting Base H44,rt metal roof mounting base h44
Z02-FB-5/16-18x1,,Accessories,,"","5/16""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""-18x1"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""", Hex Flange bolt SUS304 Serrated","5/16""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""-18x1"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""", Hex Flange bolt SUS304 Serrated",5 16 18x1 hex flange bolt sus304 serrated
rt2-00-minibk2-fset,1,MINI,20,$4.51,"MINI II base, (20ea;40 screw), 5ea.  additional RT-Butyl pads. (20 ea./ Box),RT-FBN25 Bolt & Nut(20ea./bag)","MINI II base, (20ea;40 screw), 5ea. additional RT-Butyl pads. (20 ea/box),RT-FBN25 Bolt & Nut(20ea./bag)",mini ii base 20ea 40 screw 5ea additional rt butyl pads 20 ea box rt fbn25 bolt nut 20ea bag
XHD003B,,Unknown,,"","","",""
RT2-04-LFT4476-MIL-O,,LFoot,20,$1.00,"Description: L-Foot with Serration, Slotted 3/8"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""", Mill, Open Wide Slot (20pcs/Box)
","Description: L-Foot with Serration, Slotted 3/8"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""", Mill, Open Wide Slot (20pcs/Box)",description l foot with serration slotted 3 8 mill open wide slot 20pcs box
RT2-04-LFT4476-BLK-O,,LFoot,20,$1.20,"Description: L-Foot with Serration, Slotted 3/8"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""", Black, Open Wide Slot (20pcs/Box)","Description: L-Foot with Serration, Slotted 3/8"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""", Black, Open Wide Slot (20pcs/Box)",description l foot with serration slotted 3 8 black open wide slot 20pcs box
RT2-04-SDS-60,,Screws,100,$0.43,"","",""
RT-RAIL-MF1.6-93,,RAIL,8,$9.41,"","",""
RT-RAIL-1.6SPLICE,,RAIL,8,$1.83,"1.6 Rail Splice (8 Pack)
Tamarack PN# 88375-BOX",1.6 Rail Splice (8 Pack) Tamarack PN# 88375-BOX,1 6 rail splice 8 pack tamarack pn 88375 box
RT-RAIL-MF-LFOOT,,RAIL,12,$2.18,"L Foot Mount Mill (12ea/Box)
Tamarack PN# 88443-BOX",L Foot Mount Mill (12ea/Box) Tamarack PN# 88443-BOX,l foot mount mill 12ea box tamarack pn 88443 box
RT-RAIL-1.6-ENDCAP,,RAIL,8,$0.45,"1.6 Rail End Cap (8 Pack)
Tamarack PN# 88382-BOX",1.6 Rail End Cap (8 Pack) Tamarack PN# 88382-BOX,1 6 rail end cap 8 pack tamarack pn 88382 box
RT-RAIL-5050CB,,RAIL,12,$2.95,"5050 Clamp Black 30mm-40mm (12 ea/Box)
Tamarack PN# 88450-BOX",5050 Clamp Black 30mm-40mm (12 ea/box) Tamarack PN# 88450-BOX,5050 clamp black 30mm 40mm 12 ea box tamarack pn 88450 box
RT-RAIL-CEC,,RAIL,8,$2.24,"Channel End Clamp (8ea/Box)
Tamarack PN# 88467-BOX",Channel End Clamp (8ea/Box) Tamarack PN# 88467-BOX,channel end clamp 8ea box tamarack pn 88467 box
RT-RAIL-MLC,,RAIL,24,$0.33,"Module Lead Clip (24 ea/Box)
Tamarack PN# 88474-BOX",Module Lead Clip (24 ea/box) Tamarack PN# 88474-BOX,module lead clip 24 ea box tamarack pn 88474 box
RT-RAIL-GLA,,RAIL,8,$2.54,"Ground Lug Assy (8 ea/Box)
Tamarack PN# 88504-BOX",Ground Lug assembly (8 ea/box) Tamarack PN# 88504-BOX,ground lug assembly 8 ea box tamarack pn 88504 box
RT4-00-PLUS-516ML,,PLUS,20,$4.21,"RT-PLUS 5/16 ML  (include 4ea. additional Alpha Seal pads.& 40 rafter screws)   ( 20ea./Box, 4 Box/Ctn     ,  Total 80 ea./Ctn)","RT-PLUS 5/16 ML (include 4ea. additional Alpha Seal pads.& 40 rafter screws) ( 20ea./Box, 4 Box/Ctn , Total 80 ea./Ctn)",rt plus 5 16 ml include 4ea additional alpha seal pads 40 rafter screws 20ea box 4 box ctn total 80 ea ctn
RT3-04-APEXCAPUV0.562,,APEX,100,$0.16,"Description:  S CAPS-0.562-0.500-0.060-701UV-89
BLACK (100pcs/Bag)",Description: S CAPS-0.562-0.500-0.060-701UV-89 BLACK (100pcs/Bag),description s caps 0 562 0 500 0 060 701uv 89 black 100pcs bag
RT4-00-PLUS-38ML,,PLUS,20,$4.21,"RT-PLUS 3/8 ML  (include 4ea. additional Alpha Seal pads.& 40 rafter screws)   ( 20ea./Box, 4 Box/Ctn     ,  Total 80 ea./Ctn)","RT-PLUS 3/8 ML (include 4ea. additional Alpha Seal pads.& 40 rafter screws) ( 20ea./Box, 4 Box/Ctn , Total 80 ea./Ctn)",rt plus 3 8 ml include 4ea additional alpha seal pads 40 rafter screws 20ea box 4 box ctn total 80 ea ctn
RT2-04-LFT4476-MIL-O-NS,,LFoot,20,$1.00,"Description: L-Foot without Serration, Slotted 3/8"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""", Mill, Open Wide Slot (20pcs/Box)
","Description: L-Foot without Serration, Slotted 3/8"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""", Mill, Open Wide Slot (20pcs/Box)",description l foot without serration slotted 3 8 mill open wide slot 20pcs box
RT2-04-LFT4476-BLK-O-NS,,LFoot,20,$1.20,"Description: L-Foot without Serration, Slotted 3/8"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""", Black, Open Wide Slot (20pcs/Box)
","Description: L-Foot without Serration, Slotted 3/8"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""", Black, Open Wide Slot (20pcs/Box)",description l foot without serration slotted 3 8 black open wide slot 20pcs box
RT4-00-PLUS-516BK,,PLUS,20,$4.51,"RT-PLUS 5/16 BK  (include 4ea. additional Alpha Seal pads.& 40 rafter screws)   ( 20ea./Box, 4 Box/Ctn     ,  Total 80 ea./Ctn)","RT-PLUS 5/16 BK (include 4ea. additional Alpha Seal pads.& 40 rafter screws) ( 20ea./Box, 4 Box/Ctn , Total 80 ea./Ctn)",rt plus 5 16 bk include 4ea additional alpha seal pads 40 rafter screws 20ea box 4 box ctn total 80 ea ctn
RT2-04-C-MOUNT Conduit,,C-MOUNT,20,$3.08,"","",""
RT2-00MINIBK2-FSET,,MINI,20,$4.51,"","",""
P-100,,Unknown,0,$0.00,"","",""
14X18,,Unknown,0,$0.00,"","",""
RT2,,Unknown,0,$0.00,"","",""
RT4-00-PLUS-38BK,,PLUS,20,$4.51,"RT-PLUS 3/8 BK  (include 4ea. additional Alpha Seal pads.& 40 rafter screws)   ( 20ea./Box, 4 Box/Ctn     ,  Total 80 ea./Ctn)","RT-PLUS 3/8 BK (include 4ea. additional Alpha Seal pads.& 40 rafter screws) ( 20ea./Box, 4 Box/Ctn , Total 80 ea./Ctn)",rt plus 3 8 bk include 4ea additional alpha seal pads 40 rafter screws 20ea box 4 box ctn total 80 ea ctn
RT2-04-FRSHIMSL,,E-Mount,20,$0.00,"","",""
RT-RAIL-MF1.6-93-US,,RAIL,144,$13.39,"1.6 Rail Mill Finish 93-inch (Box of 8)
Tamarack PN# 90569",1.6 Rail Mill Finish 93-inch (Box of 8) Tamarack PN# 90569,1 6 rail mill finish 93 inch box of 8 tamarack pn 90569
RT-RAIL-MLPE,,RAIL,12,$2.48,"MLPE Mount (12 ea/Box)
Tamarack PN# 88481-BOX",MLPE Mount (12 ea/box) Tamarack PN# 88481-BOX,mlpe mount 12 ea box tamarack pn 88481 box
RT-RAIL-MF2.3-93-US,,RAIL,144,$16.66,2.3 Rail Mill Finish 93-inch length (Box of 8),2.3 Rail Mill Finish 93-inch length (Box of 8),2 3 rail mill finish 93 inch length box of 8
RT-RAIL-BF-LFOOT,,RAIL,12,$2.90,"L Foot Mount Black (12 Pack)
",L Foot Mount Black (12 Pack),l foot mount black 12 pack
RT-RAIL-2.3-ENDCAP,,RAIL,8,0.63,2.3 Rail End Cap (8 ea/Box),2.3 Rail End Cap (8 ea/box),2 3 rail end cap 8 ea box
RT-RAIL-2.3SPLICE,,RAIL,8,2.44,2.3 Rail Splice (8ea/Box),2.3 Rail Splice (8ea/Box),2 3 rail splice 8ea box
RT-RAIL-MA5.16ML,,RAIL,12,2.07,Mount Adapter 5-16 Mill  (12 ea),Mount Adapter 5-16 Mill (12 ea),mount adapter 5 16 mill 12 ea
P-50,,"",,"","","",""
RT-00-MINIBK2-FSET,,MINI,20,$4.51,"MINI II base, (20ea;40 screw), 5ea.  additional RT-Butyl pads. (20 ea./ Box),RT-FBN25 Bolt & Nut(20ea./bag)","MINI II base, (20ea;40 screw), 5ea. additional RT-Butyl pads. (20 ea/box),RT-FBN25 Bolt & Nut(20ea./bag)",mini ii base 20ea 40 screw 5ea additional rt butyl pads 20 ea box rt fbn25 bolt nut 20ea bag
"",,"",,"","","",""
"",,"",,"","","",""
"",,"",,"","","",""
,,,,,,,
RT-RT2-00-MINIBK2-FSET,,,,,,,
